"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"31","101.94092_2.457",9.90348755253613,9.90348755253613,9.90348755253613,12.8992198260901,11.5129254649702,12.2060726455302,11.5129254649702,9.90348755253613
"32","101.99291_21.014",16.0127351353005,16.8112428315183,16.8112428315183,15.7614207070196,15.2018049190842,16.0127351353005,16.8112428315183,16.1180956509583
"33","101.99291_22.64",13.3046849341983,13.4588356140255,13.5923670066501,13.3046849341983,9.90348755253613,13.3046849341983,13.5923670066501,13.1223633774043
"34","102.00662_4.224",14.5086577385242,12.8992198260901,14.5086577385242,13.8155105579643,14.5086577385242,14.5086577385242,11.1562505210315,14.5086577385242
"35","102.0316_2.523",12.8992198260901,12.6115377536383,12.6115377536383,11.5129254649702,12.2060726455302,11.4075649493124,16.1180956509583,13.5923670066501
"36","102.03168_4.751",14.5086577385242,16.8112428315183,16.1180956509583,13.3046849341983,13.8155105579643,13.8155105579643,18.1975371926382,15.4249484703984
"37","102.0317_11.991",11.5129254649702,10.3089526606443,10.3089526606443,11.5129254649702,11.5129254649702,10.5966347330961,13.5923670066501,13.3046849341983
"38","102.03171_5.81",12.2060726455302,12.2060726455302,12.2060726455302,11.5129254649702,11.5129254649702,12.2060726455302,15.2018049190842,13.1223633774043
"39","102.03172_6.671",10.5966347330961,11.5129254649702,11.5129254649702,10.8197782844103,10.8197782844103,11.289781913656,14.5086577385242,12.2060726455302
"40","102.03762_2.405",13.8155105579643,13.8155105579643,11.0020998412042,14.5086577385242,12.2060726455302,15.2018049190842,10.3089526606443,9.21034037197618
"41","102.04683_8.937",14.5086577385242,17.2167079396264,18.1975371926382,12.6115377536383,13.1223633774043,13.8155105579643,18.4206807439524,15.7614207070196
"42","102.06807_2.404",19.5192930326205,19.8069751050723,19.8069751050723,19.5192930326205,19.8069751050723,20.0301186563865,16.8112428315183,15.2018049190842
"43","102.07943_7.043",14.9141228466324,13.4588356140255,13.5923670066501,13.4588356140255,14.9141228466324,14.9141228466324,12.8992198260901,14.5086577385242
"44","102.07946_9.583",11.0020998412042,13.8155105579643,13.1223633774043,11.5129254649702,12.2060726455302,12.2060726455302,10.3089526606443,11.4075649493124
"45","102.07947_8.024",14.9141228466324,13.8155105579643,13.5923670066501,13.8155105579643,14.5086577385242,13.1223633774043,12.6115377536383,13.8155105579643
"46","103.0155_6.636",8.00636756765025,9.21034037197618,8.85366542803745,9.90348755253613,6.90775527898214,8.69951474821019,11.5129254649702,8.29404964010203
"47","103.02701_7.533",11.4075649493124,11.289781913656,8.98719682066197,11.5129254649702,11.5129254649702,9.10497985631836,9.21034037197618,12.6115377536383
"48","103.04569_7.505",11.5129254649702,14.5086577385242,14.5086577385242,8.51719319141624,10.3089526606443,10.3089526606443,10.5966347330961,9.21034037197618
"49","103.0457_9.525",10.8197782844103,12.6115377536383,14.5086577385242,8.69951474821019,9.10497985631836,10.5966347330961,14.5086577385242,11.5129254649702
"50","103.06344_12.344",14.9141228466324,13.3046849341983,14.5086577385242,13.1223633774043,14.5086577385242,14.5086577385242,16.8112428315183,15.4249484703984
"51","103.06346_4.73",13.3046849341983,15.7614207070196,13.7101500423064,13.3046849341983,13.7101500423064,12.2060726455302,18.4206807439524,13.3046849341983
"52","103.06787_14.436",10.5966347330961,14.5086577385242,13.8155105579643,8.69951474821019,9.21034037197618,9.90348755253613,12.6115377536383,13.8155105579643
"53","103.07136_2.417",16.8112428315183,16.8112428315183,16.8112428315183,16.1180956509583,16.8112428315183,17.2167079396264,12.6115377536383,12.2060726455302
"54","103.09944_11.905",11.0020998412042,12.2060726455302,13.5923670066501,11.4075649493124,10.8197782844103,12.2060726455302,9.10497985631836,9.21034037197618
